Local Date/Time	Relative Time	oven:setpoint [°C]
06/15/2022 13:23:36	00:00:35.180	45.000
06/15/2022 13:23:36	00:00:35.248	45.000
06/15/2022 13:23:36	00:00:35.313	45.000
06/15/2022 13:23:36	00:00:35.379	45.000
06/15/2022 13:23:36	00:00:35.447	45.000
06/15/2022 13:23:36	00:00:35.517	45.000
06/15/2022 13:23:36	00:00:35.589	45.000
06/15/2022 13:23:36	00:00:35.663	45.000
06/15/2022 13:23:36	00:00:35.739	45.000
06/15/2022 13:23:37	00:00:35.816	45.000
06/15/2022 13:23:37	00:00:35.896	45.000
06/15/2022 13:23:37	00:00:35.978	45.000
06/15/2022 13:23:37	00:00:36.062	45.000
06/15/2022 13:23:37	00:00:36.148	45.000
06/15/2022 13:23:37	00:00:36.236	45.000
06/15/2022 13:23:37	00:00:36.326	45.000
06/15/2022 13:23:37	00:00:36.419	45.000
06/15/2022 13:23:37	00:00:36.514	45.000
06/15/2022 13:23:37	00:00:36.610	45.000
06/15/2022 13:23:37	00:00:36.709	45.000
06/15/2022 13:23:37	00:00:36.809	45.000
06/15/2022 13:23:38	00:00:36.911	45.000
06/15/2022 13:23:38	00:00:37.013	45.000
06/15/2022 13:23:38	00:00:37.115	45.000
06/15/2022 13:23:38	00:00:37.216	45.000
06/15/2022 13:23:38	00:00:37.318	45.000
06/15/2022 13:23:38	00:00:37.418	45.000
06/15/2022 13:23:38	00:00:37.518	45.000
06/15/2022 13:23:38	00:00:37.620	45.000
06/15/2022 13:23:38	00:00:37.722	45.000
06/15/2022 13:23:39	00:00:37.824	45.000
06/15/2022 13:23:39	00:00:37.926	45.000
06/15/2022 13:23:39	00:00:38.028	45.000
06/15/2022 13:23:39	00:00:38.131	45.000
06/15/2022 13:23:39	00:00:38.233	45.000
06/15/2022 13:23:39	00:00:38.335	45.000
06/15/2022 13:23:39	00:00:38.436	45.000
06/15/2022 13:23:39	00:00:38.536	45.000
06/15/2022 13:23:39	00:00:38.637	45.000
06/15/2022 13:23:39	00:00:38.738	45.000
06/15/2022 13:23:40	00:00:38.838	45.000
06/15/2022 13:23:40	00:00:38.938	45.000
06/15/2022 13:23:40	00:00:39.040	45.000
06/15/2022 13:23:40	00:00:39.142	45.000
06/15/2022 13:23:40	00:00:39.244	45.000
06/15/2022 13:23:40	00:00:39.346	45.000
06/15/2022 13:23:40	00:00:39.448	45.000
06/15/2022 13:23:40	00:00:39.551	45.000
06/15/2022 13:23:40	00:00:39.653	45.000
06/15/2022 13:23:40	00:00:39.754	45.000
06/15/2022 13:23:41	00:00:39.855	45.000
