Local Date/Time	Relative Time	valve-t:angle [degrees]
06/15/2022 13:43:11	00:20:10.113	120.000
06/15/2022 13:43:12	00:20:11.128	120.000
06/15/2022 13:43:13	00:20:12.128	120.000
06/15/2022 13:43:14	00:20:13.136	120.000
06/15/2022 13:43:15	00:20:14.137	120.000
06/15/2022 13:43:16	00:20:15.139	120.000
06/15/2022 13:43:17	00:20:16.147	120.000
06/15/2022 13:43:18	00:20:17.154	120.000
06/15/2022 13:43:19	00:20:18.155	120.000
06/15/2022 13:43:20	00:20:19.155	120.000
06/15/2022 13:43:21	00:20:20.155	120.000
06/15/2022 13:43:22	00:20:21.157	120.000
06/15/2022 13:43:23	00:20:22.158	120.000
06/15/2022 13:43:24	00:20:23.158	120.000
06/15/2022 13:43:25	00:20:24.170	120.000
06/15/2022 13:43:26	00:20:25.182	120.000
06/15/2022 13:43:27	00:20:26.184	120.000
06/15/2022 13:43:28	00:20:27.190	120.000
06/15/2022 13:43:29	00:20:28.200	120.000
06/15/2022 13:43:30	00:20:29.205	120.000
06/15/2022 13:43:31	00:20:30.215	120.000
06/15/2022 13:43:32	00:20:31.221	120.000
06/15/2022 13:43:33	00:20:32.232	120.000
06/15/2022 13:43:34	00:20:33.235	120.000
06/15/2022 13:43:35	00:20:34.244	120.000
06/15/2022 13:43:36	00:20:35.256	120.000
06/15/2022 13:43:37	00:20:36.262	120.000
06/15/2022 13:43:38	00:20:37.261	120.000
06/15/2022 13:43:39	00:20:38.270	120.000
06/15/2022 13:43:40	00:20:39.276	120.000
06/15/2022 13:43:41	00:20:40.278	120.000
06/15/2022 13:43:42	00:20:41.279	120.000
06/15/2022 13:43:43	00:20:42.282	120.000
06/15/2022 13:43:44	00:20:43.299	120.000
06/15/2022 13:43:45	00:20:44.298	120.000
06/15/2022 13:43:46	00:20:45.306	120.000
06/15/2022 13:43:47	00:20:46.317	120.000
06/15/2022 13:43:48	00:20:47.324	120.000
06/15/2022 13:43:49	00:20:48.330	120.000
06/15/2022 13:43:50	00:20:49.332	120.000
06/15/2022 13:43:51	00:20:50.341	120.000
06/15/2022 13:43:52	00:20:51.345	120.000
06/15/2022 13:43:53	00:20:52.349	120.000
06/15/2022 13:43:54	00:20:53.354	120.000
06/15/2022 13:43:55	00:20:54.356	120.000
06/15/2022 13:43:56	00:20:55.370	120.000
06/15/2022 13:43:57	00:20:56.372	120.000
06/15/2022 13:43:58	00:20:57.380	120.000
06/15/2022 13:43:59	00:20:58.387	120.000
06/15/2022 13:44:00	00:20:59.386	120.000
06/15/2022 13:44:01	00:21:00.402	120.000
06/15/2022 13:44:02	00:21:01.409	120.000
06/15/2022 13:44:03	00:21:02.410	120.000
06/15/2022 13:44:04	00:21:03.418	120.000
06/15/2022 13:44:05	00:21:04.425	120.000
06/15/2022 13:44:06	00:21:05.435	120.000
06/15/2022 13:44:07	00:21:06.443	120.000
06/15/2022 13:44:08	00:21:07.452	120.000
06/15/2022 13:44:09	00:21:08.469	120.000
06/15/2022 13:44:10	00:21:09.469	120.000
06/15/2022 13:44:11	00:21:10.482	120.000
06/15/2022 13:44:12	00:21:11.485	120.000
06/15/2022 13:44:13	00:21:12.485	120.000
06/15/2022 13:44:14	00:21:13.496	120.000
06/15/2022 13:44:15	00:21:14.497	120.000
06/15/2022 13:44:16	00:21:15.509	120.000
06/15/2022 13:44:17	00:21:16.510	120.000
06/15/2022 13:44:18	00:21:17.521	120.000
06/15/2022 13:44:19	00:21:18.528	120.000
06/15/2022 13:44:20	00:21:19.532	120.000
06/15/2022 13:44:21	00:21:20.541	120.000
06/15/2022 13:44:22	00:21:21.541	120.000
06/15/2022 13:44:23	00:21:22.551	120.000
06/15/2022 13:44:24	00:21:23.562	120.000
06/15/2022 13:44:25	00:21:24.575	120.000
06/15/2022 13:44:26	00:21:25.580	120.000
06/15/2022 13:44:27	00:21:26.594	120.000
06/15/2022 13:44:28	00:21:27.605	120.000
06/15/2022 13:44:29	00:21:28.606	120.000
06/15/2022 13:44:30	00:21:29.607	120.000
06/15/2022 13:44:31	00:21:30.611	120.000
06/15/2022 13:44:32	00:21:31.613	120.000
06/15/2022 13:44:33	00:21:32.623	120.000
06/15/2022 13:44:34	00:21:33.637	120.000
06/15/2022 13:44:35	00:21:34.643	120.000
06/15/2022 13:44:36	00:21:35.654	120.000
06/15/2022 13:44:37	00:21:36.670	120.000
06/15/2022 13:44:38	00:21:37.686	120.000
06/15/2022 13:44:39	00:21:38.687	120.000
