Local Date/Time	Relative Time	pump-a:pressure [bar]
06/15/2022 13:46:41	00:23:40.426	374.928
06/15/2022 13:46:42	00:23:41.432	374.928
06/15/2022 13:46:43	00:23:42.433	374.928
06/15/2022 13:46:44	00:23:42.433	374.928
06/15/2022 13:46:44	00:23:43.076	374.790
06/15/2022 13:46:45	00:23:43.896	374.672
06/15/2022 13:46:46	00:23:44.510	374.850
06/15/2022 13:46:46	00:23:44.918	374.968
06/15/2022 13:46:47	00:23:46.449	374.968
06/15/2022 13:46:48	00:23:46.449	374.968
06/15/2022 13:46:48	00:23:47.454	374.810
06/15/2022 13:46:49	00:23:48.465	374.810
06/15/2022 13:46:50	00:23:48.465	374.810
06/15/2022 13:46:50	00:23:48.468	374.672
06/15/2022 13:46:50	00:23:49.284	374.554
06/15/2022 13:46:51	00:23:49.588	374.672
06/15/2022 13:46:52	00:23:50.706	374.830
06/15/2022 13:46:52	00:23:51.208	374.652
06/15/2022 13:46:53	00:23:52.334	374.534
06/15/2022 13:46:54	00:23:52.638	374.416
06/15/2022 13:46:55	00:23:54.468	374.593
06/15/2022 13:46:56	00:23:55.510	374.593
06/15/2022 13:46:57	00:23:56.518	374.593
06/15/2022 13:46:58	00:23:56.518	374.593
06/15/2022 13:46:58	00:23:56.802	374.455
06/15/2022 13:46:59	00:23:58.528	374.455
06/15/2022 13:47:00	00:23:58.528	374.455
06/15/2022 13:47:00	00:23:58.536	374.573
06/15/2022 13:47:01	00:24:00.557	374.573
06/15/2022 13:47:02	00:24:00.557	374.573
06/15/2022 13:47:02	00:24:01.480	374.771
06/15/2022 13:47:03	00:24:01.988	374.652
06/15/2022 13:47:04	00:24:02.808	374.810
06/15/2022 13:47:05	00:24:03.824	374.928
06/15/2022 13:47:06	00:24:05.346	375.086
06/15/2022 13:47:07	00:24:06.059	374.869
06/15/2022 13:47:07	00:24:06.478	374.988
06/15/2022 13:47:08	00:24:07.495	374.850
06/15/2022 13:47:09	00:24:08.590	374.850
06/15/2022 13:47:10	00:24:09.590	374.850
06/15/2022 13:47:11	00:24:09.590	374.850
06/15/2022 13:47:11	00:24:09.932	374.968
06/15/2022 13:47:12	00:24:11.457	375.086
06/15/2022 13:47:12	00:24:11.559	374.948
06/15/2022 13:47:13	00:24:11.862	374.830
06/15/2022 13:47:14	00:24:12.981	374.968
06/15/2022 13:47:15	00:24:14.104	375.126
06/15/2022 13:47:16	00:24:15.619	375.126
06/15/2022 13:47:17	00:24:15.619	375.126
06/15/2022 13:47:17	00:24:15.733	374.988
06/15/2022 13:47:17	00:24:16.035	374.869
06/15/2022 13:47:17	00:24:16.342	375.027
06/15/2022 13:47:18	00:24:17.263	374.889
06/15/2022 13:47:18	00:24:17.564	374.771
06/15/2022 13:47:19	00:24:17.768	374.889
06/15/2022 13:47:20	00:24:19.194	374.771
06/15/2022 13:47:21	00:24:19.805	374.633
06/15/2022 13:47:22	00:24:21.683	374.633
06/15/2022 13:47:23	00:24:21.683	374.633
06/15/2022 13:47:23	00:24:21.732	374.514
06/15/2022 13:47:23	00:24:22.649	374.692
06/15/2022 13:47:24	00:24:23.686	374.692
06/15/2022 13:47:25	00:24:23.686	374.692
06/15/2022 13:47:25	00:24:24.073	374.573
06/15/2022 13:47:25	00:24:24.275	374.455
06/15/2022 13:47:26	00:24:25.597	374.317
06/15/2022 13:47:27	00:24:26.722	374.317
06/15/2022 13:47:28	00:24:26.722	374.317
06/15/2022 13:47:28	00:24:26.815	374.179
06/15/2022 13:47:29	00:24:28.034	374.317
06/15/2022 13:47:29	00:24:28.742	374.435
06/15/2022 13:47:30	00:24:29.354	374.317
06/15/2022 13:47:31	00:24:30.738	374.317
06/15/2022 13:47:32	00:24:30.738	374.317
06/15/2022 13:47:32	00:24:31.588	374.435
06/15/2022 13:47:33	00:24:32.749	374.435
06/15/2022 13:47:34	00:24:33.761	374.435
06/15/2022 13:47:35	00:24:34.766	374.435
06/15/2022 13:47:36	00:24:34.766	374.435
06/15/2022 13:47:36	00:24:35.251	374.317
06/15/2022 13:47:37	00:24:36.778	374.317
06/15/2022 13:47:38	00:24:36.778	374.317
06/15/2022 13:47:38	00:24:37.380	374.199
06/15/2022 13:47:39	00:24:38.791	374.199
06/15/2022 13:47:40	00:24:39.792	374.199
06/15/2022 13:47:41	00:24:39.792	374.199
06/15/2022 13:47:41	00:24:40.018	374.081
06/15/2022 13:47:42	00:24:41.810	374.081
06/15/2022 13:47:43	00:24:41.810	374.081
06/15/2022 13:47:43	00:24:41.952	373.942
06/15/2022 13:47:44	00:24:43.823	373.942
06/15/2022 13:47:45	00:24:43.823	373.942
06/15/2022 13:47:45	00:24:44.187	374.140
06/15/2022 13:47:46	00:24:45.003	374.021
06/15/2022 13:47:46	00:24:45.816	374.159
06/15/2022 13:47:47	00:24:46.525	374.278
06/15/2022 13:47:48	00:24:47.240	374.396
06/15/2022 13:47:49	00:24:48.856	374.396
06/15/2022 13:47:50	00:24:48.856	374.396
06/15/2022 13:47:50	00:24:49.069	374.514
06/15/2022 13:47:51	00:24:50.390	374.357
06/15/2022 13:47:51	00:24:50.793	374.495
06/15/2022 13:47:52	00:24:50.997	374.613
06/15/2022 13:47:53	00:24:52.215	374.455
06/15/2022 13:47:54	00:24:53.433	374.337
06/15/2022 13:47:55	00:24:54.885	374.337
06/15/2022 13:47:56	00:24:55.893	374.337
06/15/2022 13:47:57	00:24:55.893	374.337
06/15/2022 13:47:57	00:24:56.886	374.219
06/15/2022 13:47:59	00:24:57.915	374.219
06/15/2022 13:48:00	00:24:58.916	374.219
06/15/2022 13:48:01	00:24:59.917	374.219
06/15/2022 13:48:02	00:25:00.924	374.219
06/15/2022 13:48:03	00:25:01.932	374.219
06/15/2022 13:48:04	00:25:01.932	374.219
06/15/2022 13:48:04	00:25:02.055	374.100
06/15/2022 13:48:05	00:25:03.273	374.219
06/15/2022 13:48:05	00:25:03.886	374.100
06/15/2022 13:48:06	00:25:04.191	374.219
06/15/2022 13:48:07	00:25:05.309	374.100
06/15/2022 13:48:07	00:25:05.715	374.219
06/15/2022 13:48:08	00:25:06.017	374.100
06/15/2022 13:48:08	00:25:06.323	373.982
06/15/2022 13:48:08	00:25:06.741	374.140
06/15/2022 13:48:09	00:25:07.968	374.140
06/15/2022 13:48:10	00:25:07.968	374.140
06/15/2022 13:48:10	00:25:08.060	374.258
06/15/2022 13:48:11	00:25:09.591	374.140
06/15/2022 13:48:12	00:25:10.303	374.278
06/15/2022 13:48:12	00:25:10.711	374.159
06/15/2022 13:48:13	00:25:11.017	374.278
06/15/2022 13:48:14	00:25:12.240	374.396
06/15/2022 13:48:15	00:25:13.255	374.278
06/15/2022 13:48:16	00:25:14.679	374.159
06/15/2022 13:48:17	00:25:15.793	374.041
06/15/2022 13:48:18	00:25:17.040	374.041
06/15/2022 13:48:19	00:25:17.040	374.041
06/15/2022 13:48:19	00:25:17.417	374.179
06/15/2022 13:48:20	00:25:18.233	374.021
06/15/2022 13:48:20	00:25:18.435	374.140
06/15/2022 13:48:21	00:25:19.353	374.258
06/15/2022 13:48:21	00:25:19.861	374.140
06/15/2022 13:48:22	00:25:20.273	373.982
06/15/2022 13:48:23	00:25:21.793	374.100
06/15/2022 13:48:24	00:25:22.501	373.982
06/15/2022 13:48:25	00:25:23.719	374.100
06/15/2022 13:48:26	00:25:24.736	373.982
06/15/2022 13:48:27	00:25:26.103	373.982
06/15/2022 13:48:28	00:25:26.103	373.982
06/15/2022 13:48:28	00:25:26.561	373.864
06/15/2022 13:48:28	00:25:27.071	373.982
06/15/2022 13:48:29	00:25:27.682	373.864
06/15/2022 13:48:29	00:25:28.083	373.745
06/15/2022 13:48:30	00:25:29.128	373.745
06/15/2022 13:48:31	00:25:29.128	373.745
06/15/2022 13:48:31	00:25:29.207	373.627
06/15/2022 13:48:31	00:25:29.713	373.785
06/15/2022 13:48:32	00:25:30.526	373.647
06/15/2022 13:48:33	00:25:32.141	373.647
06/15/2022 13:48:34	00:25:32.141	373.647
06/15/2022 13:48:34	00:25:32.347	373.765
06/15/2022 13:48:35	00:25:34.151	373.765
06/15/2022 13:48:36	00:25:34.151	373.765
06/15/2022 13:48:36	00:25:34.283	373.647
06/15/2022 13:48:37	00:25:35.806	373.785
06/15/2022 13:48:38	00:25:37.171	373.785
06/15/2022 13:48:39	00:25:37.171	373.785
06/15/2022 13:48:39	00:25:37.430	373.666
06/15/2022 13:48:40	00:25:39.183	373.666
06/15/2022 13:48:41	00:25:40.197	373.666
06/15/2022 13:48:42	00:25:41.197	373.666
06/15/2022 13:48:43	00:25:41.197	373.666
06/15/2022 13:48:43	00:25:41.392	373.548
06/15/2022 13:48:44	00:25:43.200	373.548
06/15/2022 13:48:45	00:25:44.212	373.548
06/15/2022 13:48:46	00:25:44.212	373.548
06/15/2022 13:48:46	00:25:44.649	373.666
06/15/2022 13:48:47	00:25:46.230	373.666
06/15/2022 13:48:48	00:25:46.230	373.666
06/15/2022 13:48:48	00:25:46.679	373.804
06/15/2022 13:48:49	00:25:47.487	373.666
06/15/2022 13:48:50	00:25:49.246	373.666
06/15/2022 13:48:51	00:25:49.246	373.666
06/15/2022 13:48:51	00:25:49.323	373.844
06/15/2022 13:48:51	00:25:50.136	374.002
06/15/2022 13:48:52	00:25:50.543	373.883
06/15/2022 13:48:52	00:25:51.053	374.002
06/15/2022 13:48:53	00:25:51.761	373.864
06/15/2022 13:48:53	00:25:52.169	374.041
06/15/2022 13:48:54	00:25:52.576	373.903
06/15/2022 13:48:55	00:25:54.290	373.903
06/15/2022 13:48:56	00:25:54.290	373.903
06/15/2022 13:48:56	00:25:54.499	373.785
06/15/2022 13:48:57	00:25:56.291	373.785
06/15/2022 13:48:58	00:25:56.291	373.785
06/15/2022 13:48:58	00:25:57.262	373.666
06/15/2022 13:48:59	00:25:57.569	373.844
06/15/2022 13:49:00	00:25:58.891	373.726
06/15/2022 13:49:01	00:26:00.006	373.883
06/15/2022 13:49:02	00:26:00.415	373.765
06/15/2022 13:49:02	00:26:00.924	373.627
06/15/2022 13:49:02	00:26:01.026	373.745
06/15/2022 13:49:03	00:26:02.242	373.627
06/15/2022 13:49:04	00:26:03.353	373.627
06/15/2022 13:49:05	00:26:03.353	373.627
06/15/2022 13:49:05	00:26:03.766	373.765
06/15/2022 13:49:06	00:26:04.883	373.647
06/15/2022 13:49:07	00:26:06.370	373.647
06/15/2022 13:49:08	00:26:06.370	373.647
06/15/2022 13:49:08	00:26:06.614	373.528
