Local Date/Time	Relative Time	pump-b:pressure [bar]
06/15/2022 13:27:22	00:04:21.163	0.769
06/15/2022 13:27:23	00:04:22.165	0.769
06/15/2022 13:27:24	00:04:23.166	0.769
06/15/2022 13:27:25	00:04:23.166	0.769
06/15/2022 13:27:25	00:04:23.842	0.651
06/15/2022 13:27:26	00:04:25.181	0.651
06/15/2022 13:27:27	00:04:25.181	0.651
06/15/2022 13:27:27	00:04:25.808	0.769
06/15/2022 13:27:28	00:04:27.196	0.769
06/15/2022 13:27:29	00:04:28.197	0.769
06/15/2022 13:27:30	00:04:28.197	0.769
06/15/2022 13:27:30	00:04:28.957	0.611
06/15/2022 13:27:31	00:04:29.364	0.749
06/15/2022 13:27:32	00:04:31.197	0.749
06/15/2022 13:27:33	00:04:32.198	0.749
06/15/2022 13:27:34	00:04:33.213	0.749
06/15/2022 13:27:35	00:04:33.213	0.749
06/15/2022 13:27:35	00:04:33.522	0.631
06/15/2022 13:27:35	00:04:34.031	0.769
06/15/2022 13:27:36	00:04:35.213	0.769
06/15/2022 13:27:37	00:04:35.213	0.769
06/15/2022 13:27:37	00:04:35.452	0.651
06/15/2022 13:27:37	00:04:35.755	0.789
06/15/2022 13:27:37	00:04:36.055	0.651
06/15/2022 13:27:38	00:04:36.566	0.769
06/15/2022 13:27:38	00:04:36.668	0.631
06/15/2022 13:27:39	00:04:37.573	0.749
06/15/2022 13:27:40	00:04:39.229	0.749
06/15/2022 13:27:41	00:04:40.244	0.749
06/15/2022 13:27:42	00:04:40.244	0.749
06/15/2022 13:27:42	00:04:40.618	0.631
06/15/2022 13:27:42	00:04:41.127	0.789
06/15/2022 13:27:43	00:04:42.245	0.789
06/15/2022 13:27:44	00:04:43.245	0.789
06/15/2022 13:27:45	00:04:44.245	0.789
06/15/2022 13:27:46	00:04:44.245	0.789
06/15/2022 13:27:46	00:04:44.359	0.651
06/15/2022 13:27:47	00:04:45.477	0.809
06/15/2022 13:27:47	00:04:45.879	0.690
06/15/2022 13:27:48	00:04:47.261	0.690
06/15/2022 13:27:49	00:04:48.274	0.690
06/15/2022 13:27:50	00:04:49.275	0.690
06/15/2022 13:27:51	00:04:50.275	0.690
06/15/2022 13:27:52	00:04:50.275	0.690
06/15/2022 13:27:52	00:04:51.149	0.809
