Local Date/Time	Relative Time	pump-a:volume [%]
06/15/2022 13:25:13	00:02:12.386	75.611
06/15/2022 13:25:14	00:02:13.385	75.611
06/15/2022 13:25:15	00:02:14.399	75.611
06/15/2022 13:25:16	00:02:15.400	75.611
06/15/2022 13:25:17	00:02:16.415	75.611
06/15/2022 13:25:18	00:02:16.415	75.611
06/15/2022 13:25:18	00:02:16.541	75.621
06/15/2022 13:25:19	00:02:18.430	75.621
06/15/2022 13:25:20	00:02:19.431	75.621
06/15/2022 13:25:21	00:02:20.432	75.621
06/15/2022 13:25:22	00:02:21.446	75.621
06/15/2022 13:25:23	00:02:22.449	75.621
06/15/2022 13:25:24	00:02:22.449	75.621
06/15/2022 13:25:24	00:02:22.725	75.632
06/15/2022 13:25:25	00:02:24.463	75.632
06/15/2022 13:25:26	00:02:25.466	75.632
06/15/2022 13:25:27	00:02:26.462	75.632
06/15/2022 13:25:28	00:02:27.463	75.632
06/15/2022 13:25:29	00:02:28.464	75.632
06/15/2022 13:25:30	00:02:28.464	75.632
06/15/2022 13:25:30	00:02:29.220	75.642
06/15/2022 13:25:31	00:02:30.493	75.642
06/15/2022 13:25:32	00:02:31.494	75.642
06/15/2022 13:25:33	00:02:32.493	75.642
06/15/2022 13:25:34	00:02:33.495	75.642
06/15/2022 13:25:35	00:02:34.509	75.642
06/15/2022 13:25:36	00:02:34.509	75.642
06/15/2022 13:25:36	00:02:35.301	75.652
06/15/2022 13:25:37	00:02:36.510	75.652
06/15/2022 13:25:38	00:02:37.524	75.652
06/15/2022 13:25:39	00:02:38.524	75.652
06/15/2022 13:25:40	00:02:39.526	75.652
06/15/2022 13:25:41	00:02:40.547	75.652
06/15/2022 13:25:42	00:02:40.547	75.652
06/15/2022 13:25:42	00:02:41.489	75.662
06/15/2022 13:25:43	00:02:42.558	75.662
06/15/2022 13:25:44	00:02:43.567	75.662
06/15/2022 13:25:45	00:02:44.575	75.662
06/15/2022 13:25:46	00:02:45.587	75.662
06/15/2022 13:25:47	00:02:46.586	75.662
06/15/2022 13:25:48	00:02:47.586	75.662
06/15/2022 13:25:49	00:02:47.586	75.662
06/15/2022 13:25:49	00:02:47.670	75.672
06/15/2022 13:25:50	00:02:49.588	75.672
06/15/2022 13:25:51	00:02:50.603	75.672
06/15/2022 13:25:52	00:02:51.617	75.672
06/15/2022 13:25:53	00:02:52.617	75.672
06/15/2022 13:25:54	00:02:53.633	75.672
06/15/2022 13:25:55	00:02:53.633	75.672
06/15/2022 13:25:55	00:02:53.857	75.682
06/15/2022 13:25:56	00:02:55.634	75.682
06/15/2022 13:25:57	00:02:56.634	75.682
06/15/2022 13:25:58	00:02:57.635	75.682
06/15/2022 13:25:59	00:02:58.634	75.682
06/15/2022 13:26:00	00:02:59.634	75.682
06/15/2022 13:26:01	00:02:59.634	75.682
06/15/2022 13:26:01	00:03:00.441	75.692
06/15/2022 13:26:02	00:03:01.635	75.692
06/15/2022 13:26:03	00:03:02.634	75.692
06/15/2022 13:26:04	00:03:03.634	75.692
06/15/2022 13:26:05	00:03:04.635	75.692
06/15/2022 13:26:06	00:03:05.634	75.692
06/15/2022 13:26:07	00:03:05.634	75.692
06/15/2022 13:26:07	00:03:06.423	75.702
06/15/2022 13:26:08	00:03:07.635	75.702
06/15/2022 13:26:09	00:03:08.648	75.702
06/15/2022 13:26:10	00:03:09.651	75.702
06/15/2022 13:26:11	00:03:10.665	75.702
06/15/2022 13:26:12	00:03:11.667	75.702
06/15/2022 13:26:13	00:03:12.681	75.702
06/15/2022 13:26:14	00:03:12.681	75.702
06/15/2022 13:26:14	00:03:12.710	75.712
06/15/2022 13:26:15	00:03:14.684	75.712
06/15/2022 13:26:16	00:03:15.698	75.712
06/15/2022 13:26:17	00:03:16.714	75.712
06/15/2022 13:26:18	00:03:17.713	75.712
06/15/2022 13:26:19	00:03:18.727	75.712
06/15/2022 13:26:20	00:03:18.727	75.712
06/15/2022 13:26:20	00:03:18.999	75.722
06/15/2022 13:26:21	00:03:20.728	75.722
06/15/2022 13:26:22	00:03:21.729	75.722
06/15/2022 13:26:23	00:03:22.743	75.722
06/15/2022 13:26:24	00:03:23.744	75.722
06/15/2022 13:26:25	00:03:24.745	75.722
06/15/2022 13:26:26	00:03:24.745	75.722
06/15/2022 13:26:26	00:03:25.000	75.733
06/15/2022 13:26:27	00:03:26.771	75.733
06/15/2022 13:26:28	00:03:27.786	75.733
06/15/2022 13:26:29	00:03:28.800	75.733
06/15/2022 13:26:30	00:03:29.805	75.733
06/15/2022 13:26:31	00:03:30.820	75.733
06/15/2022 13:26:32	00:03:30.820	75.733
06/15/2022 13:26:32	00:03:31.505	75.743
06/15/2022 13:26:33	00:03:32.849	75.743
06/15/2022 13:26:34	00:03:33.860	75.743
06/15/2022 13:26:35	00:03:34.873	75.743
06/15/2022 13:26:36	00:03:35.892	75.743
06/15/2022 13:26:37	00:03:36.902	75.743
06/15/2022 13:26:39	00:03:36.902	75.743
06/15/2022 13:26:39	00:03:37.688	75.753
06/15/2022 13:26:40	00:03:38.916	75.753
06/15/2022 13:26:41	00:03:39.917	75.753
06/15/2022 13:26:42	00:03:40.931	75.753
06/15/2022 13:26:43	00:03:41.931	75.753
06/15/2022 13:26:44	00:03:42.932	75.753
06/15/2022 13:26:45	00:03:42.932	75.753
06/15/2022 13:26:45	00:03:43.780	75.763
06/15/2022 13:26:46	00:03:44.932	75.763
06/15/2022 13:26:47	00:03:45.931	75.763
06/15/2022 13:26:48	00:03:46.933	75.763
06/15/2022 13:26:49	00:03:47.931	75.763
06/15/2022 13:26:50	00:03:48.946	75.763
06/15/2022 13:26:51	00:03:49.946	75.763
06/15/2022 13:26:52	00:03:49.946	75.763
06/15/2022 13:26:52	00:03:50.264	75.773
06/15/2022 13:26:53	00:03:51.962	75.773
06/15/2022 13:26:54	00:03:52.962	75.773
06/15/2022 13:26:55	00:03:53.961	75.773
